MEDIA_ID,MEDIA_NAME,CNT,TIME(2016/10/27 10:07:20.755),TIMETICK(f=3507539),FPOGX,FPOGY,FPOGS,FPOGD,FPOGID,FPOGV,BPOGX,BPOGY,BPOGV,CX,CY,CS,USER,LPCX,LPCY,LPD,LPS,LPV,RPCX,RPCY,RPD,RPS,RPV,
0,blankscreen_1680x1050,8,0.13141,1263034088364,0.40589,0.01509,0.00000,0.13140,1,1,0.39597,0.05310,1,0.73452,0.14667,0,,0.23703,0.32042,16.67090,1.02779,1,0.58002,0.32986,15.99401,1.03449,1,
0,blankscreen_1680x1050,22,0.36134,1263034894856,0.49711,0.08513,0.14802,0.21331,2,1,0.57455,0.14440,1,0.77738,0.16381,0,,0.24380,0.32425,15.83184,1.03280,1,0.58633,0.33469,15.59546,1.03491,1,
0,blankscreen_1680x1050,30,0.49281,1263035356011,0.55115,0.14913,0.37770,0.11511,3,1,0.57424,0.12230,0,0.77738,0.16381,0,,0.24782,0.32688,15.99864,1.02363,0,0.59057,0.33712,15.90329,1.02574,0,
0,blankscreen_1680x1050,66,1.08424,1263037430459,0.77780,0.07835,0.70631,0.37793,4,1,0.57294,0.18775,1,0.77738,0.16381,0,,0.24269,0.32588,14.18165,1.03237,1,0.58498,0.33497,13.42152,1.03449,1,
0,blankscreen_1680x1050,99,1.62976,1263039343887,0.56532,0.24022,1.15030,0.47946,5,1,0.76525,0.09609,1,0.77738,0.16381,0,,0.24895,0.32104,15.55231,1.04655,1,0.59150,0.33230,15.13573,1.04867,1,
0,blankscreen_1680x1050,154,2.53014,1263042502025,0.79307,0.12019,1.69258,0.83756,6,1,0.74344,0.25173,1,0.00000,0.99905,0,,0.24997,0.32251,15.16673,1.01051,1,0.59330,0.33213,14.31222,1.01263,1,
0,blankscreen_1680x1050,184,3.02307,1263044230983,0.71668,0.22006,2.59605,0.42702,7,1,0.70474,0.19526,1,0.02500,0.98952,0,,0.24862,0.32182,15.54303,1.04655,1,0.59190,0.33120,14.87467,1.04867,1,
0,blankscreen_1680x1050,240,3.94289,1263047457293,0.70839,0.17242,3.04398,0.89891,8,1,0.72579,0.17189,1,0.00357,0.99810,0,,0.24809,0.32133,14.82144,1.04825,1,0.59205,0.33135,14.43836,1.05036,1,
0,blankscreen_1680x1050,283,4.64950,1263049935766,0.43550,0.23869,4.35447,0.29503,9,1,0.48525,0.40803,1,0.00357,0.99810,0,,0.24003,0.32505,13.99030,1.04655,1,0.58300,0.33637,13.09096,1.04867,1,
0,blankscreen_1680x1050,314,5.15857,1263051721348,0.49340,0.37835,4.71500,0.44357,10,1,0.49607,0.43037,1,0.00357,0.99810,0,,0.24445,0.32646,13.13469,1.01862,1,0.58667,0.33773,13.14122,1.02073,1,
0,blankscreen_1680x1050,328,5.38909,1263052529885,0.48421,0.47342,5.17500,0.21408,11,1,0.32497,1.19284,0,0.00357,0.99810,0,,0.21569,0.28300,11.62955,1.04655,0,0.58591,0.34035,8.38801,1.04867,0,
0,blankscreen_1680x1050,356,5.84891,1263054142718,0.45020,0.31340,5.65178,0.19712,12,1,0.45108,0.41845,1,0.00357,0.99810,0,,0.23945,0.32792,12.95839,1.03336,1,0.58192,0.33738,12.26755,1.03548,1,
0,crosshairs_1680x1050,416,6.83727,1263057609439,0.46491,0.43466,5.86518,0.97209,13,1,0.50022,0.45537,1,0.00357,0.99810,0,,0.23909,0.32721,12.50370,1.04655,1,0.58202,0.33803,12.98937,1.04867,1,
9,crosshairs_1680x1050,3,0.04890,1263057829483,0.46600,0.43322,0.00000,0.04890,1,1,0.49192,0.42857,1,0.00357,0.99810,0,,0.23945,0.32816,12.53548,1.04655,1,0.58232,0.33871,12.97331,1.04867,1,
9,crosshairs_1680x1050,35,0.57463,1263059673488,0.47886,0.45927,0.06540,0.50923,2,1,0.50784,0.43150,1,0.00357,0.99810,0,,0.23982,0.32652,13.88401,1.04655,1,0.58256,0.33630,13.42534,1.04867,1,
9,crosshairs_1680x1050,172,2.82560,1263067568847,0.50455,0.42502,0.59101,2.23459,3,1,0.49470,0.40333,1,0.00357,0.99810,0,,0.24527,0.32339,14.91355,1.03280,1,0.58828,0.33504,14.43366,1.03491,1,
