aoi_order,x_bl,y_bl,x_br,y_br,x_tr,y_tr,x_tl,y_tl,width,height,task_id,aoi_label,aoi_id
0,0,1049,1679,1049,1679,0,0,0,1680,1050,blankscreen_1680x1050,blankscreen,0
1,0,1050,1679,1050,1679,0,0,0,1680,1050,whitescreen_1680x1050,whitescreen,1
2,0,1050,1679,1050,1679,0,0,0,1680,1050,crosshairs_1680x1050,crosshairs,2
3,0,1049,839,1049,839,525,0,525,840,525,Butterfly1_eye_n_DACB_1680x1050,A,3
4,840,1049,1679,1049,1679,525,840,525,840,525,Butterfly1_eye_n_DACB_1680x1050,D,4
5,0,524,839,524,839,0,0,0,840,525,Butterfly1_eye_n_DACB_1680x1050,C,5
6,840,524,1679,524,1679,0,840,0,840,525,Butterfly1_eye_n_DACB_1680x1050,B,6
7,0,1049,839,1049,839,525,0,525,840,525,Butterfly2_vib_n_BACD_1680x1050,A,7
8,840,1049,1679,1049,1679,525,840,525,840,525,Butterfly2_vib_n_BACD_1680x1050,B,8
9,0,524,839,524,839,0,0,0,840,525,Butterfly2_vib_n_BACD_1680x1050,C,9
10,840,524,1679,524,1679,0,840,0,840,525,Butterfly2_vib_n_BACD_1680x1050,D,10
11,0,1049,839,1049,839,525,0,525,840,525,Butterfly3_eye_p_DBCE_1680x1050,B,11
12,840,1049,1679,1049,1679,525,840,525,840,525,Butterfly3_eye_p_DBCE_1680x1051,D,12
13,0,524,839,524,839,0,0,0,840,525,Butterfly3_eye_p_DBCE_1680x1052,C,13
14,840,524,1679,524,1679,0,840,0,840,525,Butterfly3_eye_p_DBCE_1680x1053,E,14
15,0,1049,839,1049,839,525,0,525,840,525,Butterfly4_vib_p_EBCD_1680x1050,B,15
16,840,1049,1679,1049,1679,525,840,525,840,525,Butterfly4_vib_p_EBCD_1680x1050,E,16
17,0,524,839,524,839,0,0,0,840,525,Butterfly4_vib_p_EBCD_1680x1050,C,17
18,840,524,1679,524,1679,0,840,0,840,525,Butterfly4_vib_p_EBCD_1680x1050,D,18
19,0,1049,839,1049,839,525,0,525,840,525,Butterfly5_eye_n_DBAC_1680x1050,B,19
20,840,1049,1679,1049,1679,525,840,525,840,525,Butterfly5_eye_n_DBAC_1680x1050,D,20
21,0,524,839,524,839,0,0,0,840,525,Butterfly5_eye_n_DBAC_1680x1050,A,21
22,840,524,1679,524,1679,0,840,0,840,525,Butterfly5_eye_n_DBAC_1680x1050,C,22
23,0,1049,839,1049,839,525,0,525,840,525,Butterfly6_vib_n_DBCA_1680x1050,B,23
24,840,1049,1679,1049,1679,525,840,525,840,525,Butterfly6_vib_n_DBCA_1680x1050,D,24
25,0,524,839,524,839,0,0,0,840,525,Butterfly6_vib_n_DBCA_1680x1050,C,25
26,840,524,1679,524,1679,0,840,0,840,525,Butterfly6_vib_n_DBCA_1680x1050,A,26
27,0,1049,839,1049,839,525,0,525,840,525,Butterfly7_eye_p_ECBD_1680x1050,C,27
28,840,1049,1679,1049,1679,525,840,525,840,525,Butterfly7_eye_p_ECBD_1680x1050,E,28
29,0,524,839,524,839,0,0,0,840,525,Butterfly7_eye_p_ECBD_1680x1050,B,29
30,840,524,1679,524,1679,0,840,0,840,525,Butterfly7_eye_p_ECBD_1680x1050,D,30
31,0,1049,839,1049,839,525,0,525,840,525,Butterfly8_vib_p_DCEB_1680x1050,C,31
32,840,1049,1679,1049,1679,525,840,525,840,525,Butterfly8_vib_p_DCEB_1680x1050,D,32
33,0,524,839,524,839,0,0,0,840,525,Butterfly8_vib_p_DCEB_1680x1050,E,33
34,840,524,1679,524,1679,0,840,0,840,525,Butterfly8_vib_p_DCEB_1680x1050,B,34
35,0,1049,839,1049,839,525,0,525,840,525,Butterfly1_eye_p_DBCE_1680x1050,B,35
36,840,1049,1679,1049,1679,525,840,525,840,525,Butterfly1_eye_p_DBCE_1680x1050,D,36
37,0,524,839,524,839,0,0,0,840,525,Butterfly1_eye_p_DBCE_1680x1050,C,37
38,840,524,1679,524,1679,0,840,0,840,525,Butterfly1_eye_p_DBCE_1680x1050,E,38
